0xffffd28a:	"LESSOPEN=| /usr/bin/lesspipe %s"
0xffffd611:	"PATH=/home/scholtes/bin:/home/scholtes/.local/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/snap/bin"
0xffffd6a6:	"GDM_LANG=en_US"
0xffffd6b5:	"XDG_SESSION_PATH=/org/freedesktop/DisplayManager/Session0"
0xffffd6ef:	"XDG_RUNTIME_DIR=/run/user/1000"
0xffffd70e:	"COMPIZ_BIN_PATH=/usr/bin/"
0xffffd728:	"DISPLAY=:0"
0xffffd733:	"LANG=en_US.UTF-8"
0xffffd744:	"XDG_CURRENT_DESKTOP=Unity"
0xffffd826:	"=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=0"...
0xffffd8ee:	"1;31:*.lzo=01;31:*.xz=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo"...
0xffffd9b6:	"=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.jpg=01;35:*.jpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:"...
0xffffda7e:	"*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt"...
0xffffdb46:	"=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.o"...
0xffffdc0e:	"gv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;3"...
0xffffdcd6:	"6:*.xspf=00;36:"
0xffffdce6:	"XMODIFIERS=@im=ibus"
0xffffdcfa:	"XDG_SESSION_DESKTOP=ubuntu"
0xffffdd15:	"XAUTHORITY=/home/scholtes/.Xauthority"
0xffffdd3b:	"XDG_GREETER_DATA_DIR=/var/lib/lightdm-data/scholtes"
0xffffdd6f:	"SSH_AUTH_SOCK=/run/user/1000/keyring/ssh"

######################################################################################################
0xffffdd98:	"SHELL=/bin/sh"           ################################################################
######################################################################################################

0xffffdda6:	"QT_ACCESSIBILITY=1"
0xffffddb9:	"GDMSESSION=ubuntu"
0xffffddcb:	"LESSCLOSE=/usr/bin/lesspipe %s %s"
0xffffdded:	"UPSTART_EVENTS=xsession started"
0xffffde0d:	"GPG_AGENT_INFO=/home/scholtes/.gnupg/S.gpg-agent:0:1"
0xffffde42:	"UPSTART_SESSION=unix:abstract=/com/ubuntu/upstart-session/1000/1617"
0xffffde86:	"XDG_VTNR=7"
0xffffde91:	"QT_IM_MODULE=ibus"
0xffffdea3:	"PWD=/home/scholtes/classes/secvul/esc-to-shell"
0xffffded2:	"CLUTTER_IM_MODULE=xim"
0xffffdee8:	"XDG_CONFIG_DIRS=/etc/xdg/xdg-ubuntu:/usr/share/upstart/xdg:/etc/xdg"
